signal_strength,network_type,tower_distance,user_speed,call_duration,weather_condition,dropped_call
-69,2G,4.074311746040617,76.32821044226708,22.328652068517645,Clear,0
-106,3G,1.670379030811142,47.793665890686526,462.619107386843,Clear,1
-49,5G,8.831722480244196,0.8177637480153743,541.6361951905888,Clear,1
-60,5G,8.255403092001535,62.80886220809662,270.58097476080593,Rainy,1
-100,2G,7.245043371900075,110.58160702889015,332.66084242503484,Clear,1
-46,2G,2.7883157693712994,97.44931332104149,566.9558942898126,Foggy,1
-46,5G,4.084221710593322,99.02536455115573,131.3051215948811,Foggy,1
-97,4G,1.1172076992789914,95.40696211273574,314.4802344318875,Rainy,1
-118,2G,1.9714912948025642,38.84769907325084,287.4590706412867,Clear,1
-99,5G,7.851864709435655,91.82326005052704,158.7436254828702,Foggy,1
-68,2G,7.17888331662177,17.179362937343157,492.06297207199924,Rainy,0
-119,4G,5.975509053461753,78.92593767311442,540.2623538841253,Foggy,1
-91,3G,8.967694586669111,76.98822800219932,470.24988497398425,Rainy,1
-83,2G,5.874338526349149,3.06837589076816,121.23858170492198,Rainy,0
-119,4G,4.722983199639746,94.55641603091179,56.61543812332203,Clear,1
-57,5G,3.4696703884270508,108.38977261141567,365.2394687566787,Rainy,1
-61,2G,9.410440206788108,32.08983341665292,38.971382503380944,Foggy,1
-100,2G,0.9188830690910996,97.4868869023381,405.3314036920601,Foggy,1
-88,5G,9.315784983402002,9.888716623433783,320.6024110947094,Clear,1
-45,3G,8.284475133317082,71.99614299132793,399.3575109824798,Clear,1
-63,5G,1.386306252903443,58.27762384011326,356.1516103215977,Rainy,0
-99,2G,5.69334514098501,65.51082399708,256.5080288686678,Clear,0
-72,5G,8.67882501931596,111.14462422612141,124.52192218343582,Foggy,1
-62,4G,5.760910719710822,104.55782966962242,186.89277080724068,Foggy,1
-79,5G,9.08127823345016,94.21003886877085,317.07784166029097,Clear,1
-61,2G,9.43553978647882,32.843814921404515,392.8615157203255,Clear,1
-41,5G,4.281606769624628,109.418235442331,468.7923950462945,Clear,1
-106,3G,3.835405247922604,11.70092309566503,461.4665774771912,Rainy,1
-59,5G,9.369579424294653,102.39950598705454,583.7498022403457,Rainy,1
-59,3G,6.7838866053817135,39.37920868243293,175.07566195472862,Foggy,1
-74,4G,1.248624545346876,6.452677399438005,47.31087138699489,Rainy,0
-59,3G,0.5186883173045439,80.3228381088898,210.66587664740626,Rainy,1
-70,5G,5.689827604872905,27.753591397914654,447.2602127583256,Rainy,0
-66,2G,9.308692557840404,29.22853510375583,265.67643236481064,Rainy,1
-57,3G,8.458062153817602,36.72565994745258,491.58411620070456,Foggy,1
-118,4G,6.79089268999693,7.642172100302007,331.8491872856789,Clear,1
-70,3G,1.4772469040217666,21.255257303790486,558.2260749651493,Foggy,1
-114,3G,2.6168906991120866,0.6167553102672363,568.978747989446,Rainy,1
-100,3G,8.7675611428709,53.44914253269442,46.236181081155486,Clear,1
-48,4G,1.9097916429033148,10.110645290156555,276.5659966288925,Clear,0
